brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
AMD,Ryzen 5 3600,6,3.6,4.2,65,None,Yes,299.99
AMD,Ryzen 7 3700X,8,3.6,4.4,65,None,Yes,279.99
AMD,Ryzen 5 5600X,6,3.7,4.6,65,None,Yes,
AMD,Ryzen 5 2600,6,3.4,3.9,65,None,Yes,
AMD,Ryzen 5 3600X,6,3.8,4.4,95,None,Yes,277.44
AMD,Ryzen 3 3100,4,3.6,3.9,65,None,Yes,178.39
AMD,Ryzen 9 3900X,12,3.8,4.6,105,None,Yes,479.99
Intel,Core i7-9700K,8,3.6,4.9,95,Intel UHD Graphics 630,No,259.99
AMD,Ryzen 9 5900X,12,3.7,4.8,105,None,Yes,
AMD,Ryzen 7 2700X,8,3.7,4.3,105,None,Yes,229.95
AMD,Ryzen 7 5800X,8,3.8,4.7,105,None,Yes,
Intel,Core i7-10700K,8,3.8,5.1,125,Intel UHD Graphics 630,Yes,359.99
AMD,Ryzen 3 3200G,4,3.6,4,65,Radeon Vega 8,No,99.99
Intel,Core i9-10900K,10,3.7,5.3,125,Intel UHD Graphics 630,Yes,527.98
AMD,Ryzen 5 3400G,4,3.7,4.2,65,Radeon Vega 11,Yes,184.99
Intel,Core i9-9900K,8,3.6,5,95,Intel UHD Graphics 630,Yes,399.99
Intel,Core i5-9600K,6,3.7,4.6,95,Intel UHD Graphics 630,No,184.99
AMD,Ryzen 9 5950X,16,3.4,4.9,105,None,Yes,
AMD,Ryzen 5 2600X,6,3.6,4.2,95,None,Yes,179.89
AMD,Ryzen 5 3600XT,6,3.8,4.5,95,None,Yes,
Intel,Core i5-9400F,6,2.9,4.1,65,None,No,139.99
AMD,Ryzen 7 3800X,8,3.9,4.5,105,None,Yes,339.99
Intel,Core i5-10600K,6,4.1,4.8,125,Intel UHD Graphics 630,Yes,267.66
AMD,Ryzen 9 3950X,16,3.5,4.7,105,None,Yes,672.98
Intel,Core i3-9100F,4,3.6,4.2,65,None,No,119.99
Intel,Core i3-10100,4,3.6,4.3,65,Intel UHD Graphics 630,Yes,99.99
Intel,Core i5-10400,6,2.9,4.3,65,Intel UHD Graphics 630,Yes,179.99
Intel,Core i5-10400F,6,2.9,4.3,65,None,Yes,171.99
AMD,Threadripper 3990X,64,2.9,4.3,280,None,Yes,3849.99
AMD,Ryzen 9 3900XT,12,3.8,4.7,105,None,Yes,454.99
AMD,Ryzen 3 3300X,4,3.8,4.3,65,None,Yes,
Intel,Core i9-10850K,10,3.6,5.2,125,Intel UHD Graphics 630,Yes,434.99
AMD,Ryzen 7 3800XT,8,3.9,4.7,105,None,Yes,359.00
Intel,Core i7-8700K,6,3.7,4.7,95,Intel UHD Graphics 630,Yes,299.99
AMD,Athlon 3000G,2,3.5,,35,Radeon Vega 3,Yes,99.71
Intel,Core i7-10700,8,2.9,4.8,65,Intel UHD Graphics 630,Yes,324.99
Intel,Xeon E5-2690 V4,14,2.6,3.5,135,None,Yes,5650.00
Intel,Core i7-6700K,4,4,4.2,91,Intel HD Graphics 530,Yes,278.99
Intel,Core i7-7700K,4,4.2,4.5,91,Intel HD Graphics 630,Yes,
AMD,Ryzen 5 1600,6,3.2,3.6,65,None,Yes,195.00
Intel,Core i7-9700F,8,3,4.7,65,None,No,259.99
Intel,Core i5-9400,6,2.9,4.1,65,Intel UHD Graphics 630,No,167.92
Intel,Core i3-9100,4,3.6,4.2,65,Intel UHD Graphics 630,No,109.99
Intel,Core 2 Duo E7300,2,2.66,,65,None,No,11.95
Intel,Core i5-9600KF,6,3.7,4.6,95,None,No,199.99
Intel,Core i9-10900KF,10,3.7,5.3,125,None,Yes,529.99
Intel,Core i5-8400,6,2.8,4,65,Intel UHD Graphics 630,No,189.50
Intel,Core i3-10100F,4,3.6,4.3,65,None,Yes,
AMD,Threadripper 3970X,32,3.7,4.5,280,None,Yes,2133.21
Intel,Core i9-9900K,8,3.6,5,95,Intel UHD Graphics 630,Yes,319.99
AMD,Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,No,
Intel,Core i9-9900KF,8,3.6,5,95,None,Yes,359.99
AMD,Threadripper 3960X,24,3.8,4.5,280,None,Yes,1396.22
Intel,Core i9-10980XE,18,3,4.8,165,None,Yes,969.99
Intel,Core i5-6600K,4,3.5,3.9,91,Intel HD Graphics 530,No,199.95
AMD,Ryzen 5 3500X,6,3.6,4.1,65,None,No,
Intel,Core i7-9700,8,3,4.7,65,Intel HD Graphics 630,No,254.99
Intel,Core i5-3470,4,3.2,,77,Intel HD Graphics 2500,No,85.00
Intel,Core i7-10700F,8,2.9,4.8,65,None,Yes,326.77
Intel,Core i7-8700,6,3.2,4.6,65,Intel UHD Graphics 630,Yes,309.99
Intel,Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,Yes,
Intel,Core i7-10700KF,8,3.8,5.1,125,None,Yes,374.52
AMD,Ryzen 5 1600,6,3.2,3.6,65,None,Yes,219.98
AMD,Ryzen 7 2700,8,3.2,4.1,65,None,Yes,349.99
Intel,Core i5-8600K,6,3.6,4.3,95,Intel UHD Graphics 630,No,222.99
Intel,Core i7-7700,4,3.6,4.2,65,Intel HD Graphics 630,Yes,408.96
Intel,Core i3-2100,2,3.1,,65,Intel HD Graphics 2000,Yes,25.00
Intel,Core i5-7400,4,3,3.5,65,Intel HD Graphics 630,No,181.94
Intel,Core i5-10600KF,6,4.1,4.8,125,None,Yes,358.59
Intel,Core i3-8100,4,3.6,,65,Intel UHD Graphics 630,No,119.99
AMD,Ryzen 7 1700,8,3,3.7,65,None,Yes,348.03
AMD,Threadripper 2950X,16,3.5,4.4,180,None,Yes,589.99
AMD,Ryzen 5 2400G,4,3.6,3.9,65,Radeon Vega 11,Yes,261.00
AMD,FX-8350,8,4,,125,None,No,380.45
Intel,Core i5-4690K,4,3.5,3.9,88,Intel HD Graphics 4600,No,228.96
AMD,Ryzen 3 1200,4,3.1,3.4,65,None,No,180.49
Intel,Core i5-6500,4,3.2,3.6,65,Intel HD Graphics 530,No,203.92
Intel,Pentium Gold G5400,2,3.7,,58,Intel UHD Graphics 610,Yes,69.98
Intel,Core i7-6700,4,3.4,4,65,Intel HD Graphics 530,Yes,399.99
Intel,Core i5-10600,6,3.3,4.8,65,Intel UHD Graphics 630,Yes,261.25
Intel,Core i7-3770,4,3.4,,77,Intel HD Graphics 4000,Yes,212.00
Intel,Core i5-7600K,4,3.8,4.2,91,Intel HD Graphics 630,No,319.75
Intel,Core i9-9900KS,8,4,5,127,Intel UHD Graphics 630,Yes,899.99
AMD,Athlon 200GE,2,3.2,,35,Radeon Vega 3,Yes,98.26
Intel,Core i7-9700KF,8,3.6,4.9,95,None,No,301.77
AMD,FX-6300,6,3.5,,95,None,No,221.64
Intel,Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,Yes,250.00
Intel,Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,125,Intel UHD Graphics 630,Yes,454.99
AMD,Ryzen 7 1700X,8,3.4,3.8,95,None,Yes,318.97
Intel,Core i5-3570K,4,3.4,,77,Intel HD Graphics 4000,No,114.52
Intel,Core i5-4460,4,3.2,3.4,84,Intel HD Graphics 4600,No,214.71
Intel,Celeron G5900,2,3.4,,58,Intel UHD Graphics 610,No,43.25
Intel,Core i9-10900X,10,3.7,4.7,165,None,Yes,562.00
Intel,Core i9-10900,10,2.8,5.2,65,Intel UHD Graphics 630,Yes,469.78
Intel,Pentium Gold G6400,2,4,,58,Intel UHD Graphics 610,Yes,
Intel,Core i5-7500,4,3.4,3.8,65,Intel HD Graphics 630,No,239.95
AMD,Ryzen 5 1600X,6,3.6,4,95,None,Yes,262.60
Intel,Core i5-10500,6,3.1,4.5,65,Intel UHD Graphics 630,Yes,239.99
Intel,Core i9-10900F,10,2.8,5.2,65,None,Yes,364.99
Intel,Core i5-6400,4,2.7,3.3,65,Intel HD Graphics 530,No,
Intel,Core i7-4790,4,3.6,4,84,Intel HD Graphics 4600,Yes,238.76
AMD,Ryzen 5 1400,4,3.2,3.4,65,None,Yes,243.52
AMD,Ryzen 5 1500X,4,3.5,3.7,65,None,Yes,300.99
Intel,Core i7-3770K,4,3.5,,77,Intel HD Graphics 4000,Yes,327.98
Intel,Core i9-9900,8,3.1,5,65,Intel UHD Graphics 630,Yes,349.99
Intel,Xeon E5-2650,8,2,2.8,95,None,Yes,57.00
Intel,Core i5-4590,4,3.3,3.7,84,Intel HD Graphics 4600,No,
Intel,Core i7-2600,4,3.4,,95,Intel HD Graphics 2000,Yes,204.58
Intel,Core i3-7100,2,3.9,,51,Intel HD Graphics 630,Yes,105.06
Intel,Pentium Gold G5420,2,3.8,,54,Intel UHD Graphics 610,Yes,62.39
AMD,Ryzen 5 3500,6,3.6,4.1,65,None,No,
Intel,Core i5-2400,4,3.1,,95,Intel HD Graphics 2000,No,203.95
AMD,Ryzen 5 2600,6,3.4,3.9,65,None,Yes,
Intel,Core i7-4770,4,3.4,3.9,84,Intel HD Graphics 4600,Yes,354.98
AMD,Ryzen 7 1800X,8,3.6,4,95,None,Yes,495.53
AMD,Ryzen 3 1200,4,3.1,3.4,65,None,No,
Intel,Xeon E5-2699 V4,22,2.2,3.6,145,None,Yes,1680.02
AMD,Athlon 220GE,2,3.4,,35,Radeon Vega 3,Yes,111.13
AMD,FX-9590,8,4.7,5,220,None,No,495.01
AMD,Threadripper 1900X,8,3.8,4,180,None,Yes,326.25
Intel,Core i5-2500K,4,3.3,,95,Intel HD Graphics 3000,No,176.47
Intel,Core i5-9500,6,3,4.4,65,Intel UHD Graphics 630,No,206.29
AMD,Athlon II X2 220,2,2.8,,65,None,No,26.73
Intel,Pentium G640,2,2.8,,65,Intel HD Graphics,No,30.00
Intel,Core i5-4670K,4,3.4,,84,Intel HD Graphics 4600,No,405.31
Intel,Core i9-10920X,12,3.5,4.8,165,None,Yes,643.00
Intel,Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,Yes,303.97
Intel,Core i5-4690,4,3.5,3.9,84,Intel HD Graphics 4600,No,175.00
Intel,Core i5-4570,4,3.2,,84,Intel HD Graphics 4600,No,302.94
AMD,Ryzen 3 1300X,4,3.5,3.7,65,None,No,314.98
Intel,Core i3-6100,2,3.7,,51,Intel HD Graphics 530,Yes,196.47
Intel,Core i7-5820K,6,3.3,3.6,140,None,Yes,
Intel,Celeron G4930,2,3.2,,54,Intel UHD Graphics 610,No,58.98
AMD,Ryzen 7 3700X,8,3.6,4.4,65,None,Yes,
Intel,Core i9-7980XE,18,2.6,4.4,165,None,Yes,2779.00
AMD,FX-6300,6,3.5,,95,None,No,125.50
Intel,Core i5-6600,4,3.3,3.9,65,Intel HD Graphics 530,No,306.63
Intel,Core i7-9800X,8,3.8,4.5,165,None,Yes,396.00
AMD,Ryzen 5 3600X,6,3.8,4.4,95,None,Yes,
AMD,FX-8320,8,3.5,,125,None,No,
AMD,A8-9600,4,3.1,3.4,65,Radeon R7 (on-die),No,124.98
Intel,Core i5-3470S,4,2.9,,65,Intel HD Graphics 2500,No,63.99
Intel,Pentium G4560,2,3.5,,54,Intel HD Graphics 610,Yes,85.34
Intel,Core i7-2600K,4,3.4,,95,Intel HD Graphics 3000,Yes,304.29
AMD,Ryzen 9 3900X,12,3.8,4.6,105,None,Yes,
Intel,Core i7-7740X,4,4.3,4.5,112,None,Yes,280.49
Intel,Core i3-9350KF,4,4,4.6,91,None,No,161.19
AMD,A6-9500,2,3.5,3.8,65,Radeon R5 (on die),No,104.98
Intel,Core i7-6950X,10,3,3.5,140,None,Yes,1147.98
Intel,Core i9-9900K,8,3.6,5,95,Intel UHD Graphics 630,Yes,585.99
AMD,Threadripper 2990WX,32,3,4.2,250,None,Yes,1599.99
Intel,Celeron E1400,2,2,,65,None,No,14.00
Intel,Xeon E5-2620 V3,6,2.4,3.2,85,None,Yes,69.92
Intel,Core i7-4790,4,3.6,4,84,Intel HD Graphics 4600,Yes,
Intel,Core i7-930,4,2.8,,130,None,Yes,97.24
Intel,Core i9-7960X,16,2.8,4.4,165,None,Yes,2705.09
Intel,Core i5-8500,6,3,4.1,65,Intel UHD Graphics 630,No,314.98
Intel,Core i7-8086K,6,4,5,95,Intel UHD Graphics 630,Yes,699.00
Intel,Core i9-10940X,14,3.3,4.8,165,None,Yes,799.00
Intel,Core i9-9980XE,18,3,4.4,165,None,Yes,1054.05
AMD,Ryzen 5 3600,6,3.6,4.2,65,None,Yes,
AMD,A10-9700,4,3.5,3.8,65,Radeon R7 (on-die),No,129.24
Intel,Core i9-9920X,12,3.5,4.4,165,None,Yes,669.60
Intel,Celeron G3930,2,2.9,,51,Intel HD Graphics 610,No,59.99
Intel,Core i5-7600,4,3.5,4.1,65,Intel HD Graphics 630,No,269.98
Intel,Core i3-3250,2,3.5,,55,Intel HD Graphics 2500,Yes,54.97
AMD,Athlon II X4 640,4,3,,95,None,No,64.02
Intel,Core i9-10850K,10,3.6,5.2,125,Intel UHD Graphics 630,Yes,486.63
Intel,Core i5-3570,4,3.4,,77,Intel HD Graphics 2500,No,
Intel,Core i7-6800K,6,3.4,3.6,140,None,Yes,301.14
Intel,Core i3-3240,2,3.4,,55,Intel HD Graphics 2500,Yes,49.95
AMD,FX-4300,4,3.8,,95,None,No,
AMD,Ryzen 5 3400G,4,3.7,4.2,65,Radeon Vega 11,Yes,
AMD,Threadripper 1950X,16,3.4,4,180,None,Yes,831.19
AMD,3850,4,1.3,,25,Radeon HD 8280,No,79.62
Intel,Core i7-8700K,6,3.7,4.7,95,Intel UHD Graphics 630,Yes,372.47
Intel,Core i5-4440,4,3.1,3.3,84,Intel HD Graphics 4600,No,
Intel,Core i5-8600,6,3.1,4.3,65,Intel UHD Graphics 630,No,242.52
AMD,Threadripper 2970WX,24,3,4.2,250,None,Yes,1156.40
Intel,Core 2 Quad Q6600,4,2.4,,100,None,No,39.97
AMD,Athlon X4 950,4,3.5,3.8,65,None,No,79.94
Intel,Core i3-8350K,4,4,,91,Intel UHD Graphics 630,No,194.99
Intel,Core i3-10300,4,3.7,4.4,65,Intel UHD Graphics 630,Yes,178.85
Intel,Core i3-10320,4,3.8,4.6,65,Intel UHD Graphics 630,Yes,196.00
Intel,Core i7-7700,4,3.6,4.2,65,Intel HD Graphics 630,Yes,349.80
AMD,A6-7480,2,3.5,3.8,65,Radeon R5 (on die),No,144.00
Intel,Core i5-7400,4,3,3.5,65,Intel HD Graphics 630,No,167.98
AMD,Ryzen 7 3800X,8,3.9,4.5,105,None,Yes,
AMD,Ryzen 9 3950X,16,3.5,4.7,105,None,Yes,
Intel,Core i7-7700K,4,4.2,4.5,91,Intel HD Graphics 630,Yes,
Intel,Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,Yes,278.83
AMD,Ryzen 5 2400G,4,3.6,3.9,65,Radeon Vega 11,Yes,
Intel,Core i7-2700K,4,3.5,,95,Intel HD Graphics 3000,Yes,223.00
AMD,Threadripper 1920X,12,3.5,4,180,None,Yes,989.00
Intel,Core 2 Duo E8400,2,3,,65,None,No,29.00
Intel,Core 2 Quad Q9400,4,2.66,,95,None,No,42.53
AMD,2650,2,1.45,,25,Radeon HD 8240,No,59.61
Intel,Core i5-2500,4,3.3,,95,Intel HD Graphics 2000,No,
AMD,FX-8350,8,4,,125,None,No,228.53
Intel,Core i7-9700K,8,3.6,4.9,95,Intel UHD Graphics 630,No,399.00
AMD,Athlon X4 860K,4,3.7,4,95,None,No,
Intel,Celeron G440,1,1.6,,35,Intel HD Graphics,No,30.00
Intel,Core i5-9500F,6,3,4.4,65,None,No,228.10
AMD,Athlon II X4 630,4,2.8,,95,None,No,52.60
Intel,Core i9-9900X,10,3.5,4.4,165,None,Yes,602.00
Intel,Core i5-9600,6,3.1,4.6,65,Intel UHD Graphics 630,No,233.42
Intel,Core i5-8400,6,2.8,4,65,Intel UHD Graphics 630,No,216.30
AMD,Ryzen 5 2600X,6,3.6,4.2,95,None,Yes,
Intel,Core i7-8700,6,3.2,4.6,65,Intel UHD Graphics 630,Yes,373.94
AMD,FX-8320,8,3.5,,125,None,No,179.58
AMD,Ryzen 3 3200G,4,3.6,4,65,Radeon Vega 8,No,
Intel,Core i3-3220,2,3.3,,55,Intel HD Graphics 2500,Yes,
Intel,Pentium E2200,2,2.2,,65,None,No,168.59
Intel,Core i3-4130,2,3.4,,54,Intel HD Graphics 4400,Yes,186.86
Intel,Core i5-9400F,6,2.9,4.1,65,None,No,
Intel,Core i9-9920X,12,3.5,4.4,165,None,Yes,478.50
Intel,Xeon E5-2640 V3,8,2.6,3.4,90,None,Yes,280.88
Intel,Core i5-4670,4,3.4,,84,Intel HD Graphics 4600,No,232.08
Intel,Xeon E5-2697 V4,18,2.3,3.6,145,None,Yes,3162.13
Intel,Pentium G4600,2,3.6,,51,Intel HD Graphics 630,Yes,92.64
Intel,Core i5-750,4,2.66,,95,None,No,90.00
Intel,Pentium G4400,2,3.3,,54,Intel HD Graphics 510,No,119.99
AMD,FX-8300,8,3.3,,95,None,No,
AMD,Athlon 240GE,2,3.5,,35,Radeon Vega 3,Yes,111.13
Intel,Core i7-3820,4,3.6,,130,None,Yes,
Intel,Core i3-2120,2,3.3,,65,Intel HD Graphics 2000,Yes,135.00
Intel,Celeron G4920,2,3.2,,65,Intel UHD Graphics 610,No,63.44
Intel,Core i7-6850K,6,3.6,3.8,140,None,Yes,439.99
Intel,Xeon E5-1620 V2,4,3.7,3.9,130,None,Yes,
Intel,Pentium G3258,2,3.2,,53,Intel HD Graphics,No,106.59
Intel,Core i3-4170,2,3.7,,54,Intel HD Graphics 4400,Yes,
Intel,Pentium G4560,2,3.5,,54,Intel HD Graphics 610,Yes,72.06
Intel,Core i9-9960X,16,3.1,4.4,165,None,Yes,885.99
Intel,Core i5-3330,4,3,,77,Intel HD Graphics 2500,No,
Intel,Core i5-9600K,6,3.7,4.6,95,Intel UHD Graphics 630,No,304.02
Intel,Core i7-870,4,2.93,,95,None,Yes,195.10
Intel,Core i7-3930K,6,3.2,,130,None,Yes,529.95
Intel,Core i7-7740X,4,4.3,4.5,112,None,Yes,219.95
Intel,Core i5-6500,4,3.2,3.6,65,Intel HD Graphics 530,No,203.99
Intel,Core i9-7900X,10,3.3,4.5,140,None,Yes,1804.05
Intel,Core i7-6700,4,3.4,4,65,Intel HD Graphics 530,Yes,319.98
Intel,Core i7-920,4,2.66,,130,None,Yes,354.71
Intel,Xeon E5-2650 V2,8,2.6,3.4,95,None,Yes,150.00
Intel,Core i3-7350K,2,4.2,,60,Intel HD Graphics 630,Yes,148.99
Intel,Core i7-7820X,8,3.6,4.5,140,None,Yes,944.42
Intel,Core i9-9820X,10,3.3,4.1,165,None,Yes,536.00
Intel,Core i5-7600T,4,2.8,3.7,35,Intel HD Graphics 630,No,727.00
Intel,Core i7-5930K,6,3.5,3.7,140,None,Yes,
Intel,Core i5-4430,4,3,,84,Intel HD Graphics 4600,No,
AMD,Athlon II X2 240,2,2.8,,65,None,No,29.48
AMD,FX-6350,6,3.9,,125,None,No,
AMD,Threadripper 2920X,12,3.5,4.3,180,None,Yes,1499.99
Intel,Core i9-7980XE,18,2.6,4.4,165,None,Yes,1019.00
Intel,Core i3-4160,2,3.6,,54,Intel HD Graphics 4400,Yes,
Intel,Pentium G2020,2,2.9,,55,Intel HD Graphics,No,50.00
Intel,Pentium Gold G5500,2,3.8,,54,Intel UHD Graphics 630,Yes,94.51
Intel,Core i7-9700,8,3,4.7,65,Intel HD Graphics 630,No,347.92
Intel,Celeron G4900,2,3.1,,65,Intel UHD Graphics 610,No,
Intel,Core i5-3450,4,3.1,,77,Intel HD Graphics 2500,No,183.85
AMD,Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,No,
Intel,Core i7-6700K,4,4,4.2,91,Intel HD Graphics 530,Yes,
Intel,Core i7-5960X,8,3,3.5,140,None,Yes,
Intel,Core i7-7800X,6,3.5,4,140,None,Yes,794.00
AMD,FX-8370,8,4,4.3,125,None,No,
AMD,5350,4,2.05,,25,Radeon HD 8400,No,104.94
Intel,Core i3-4150,2,3.5,,54,Intel HD Graphics 4400,Yes,
Intel,Core i7-9700F,8,3,4.7,65,None,No,308.02
Intel,Core i7-4930K,6,3.4,3.9,130,None,Yes,
Intel,Xeon E5-2690 V3,12,2.6,3.5,135,None,Yes,505.10
Intel,Core i5-650,2,3.2,,73,Intel HD Graphics,Yes,
Intel,Core i7-6900K,8,3.2,3.7,140,None,Yes,579.00
AMD,A8-7600,4,3.1,3.8,65,Radeon R7 (on-die),No,
Intel,Core i7-4820K,4,3.7,3.9,130,None,Yes,
Intel,Core i5-2320,4,3,,95,Intel HD Graphics 2000,No,249.95
Intel,Xeon E5-2620 V4,8,2.1,3,85,None,Yes,409.99
AMD,A10-6800K,4,4.1,,100,Radeon HD 8670D,No,
Intel,Core i5-6402P,4,2.8,3.4,65,Intel HD Graphics 510,No,
AMD,Ryzen 7 2700,8,3.2,4.1,65,None,Yes,
Intel,Core i7-950,4,3.06,,130,None,Yes,353.97
AMD,Ryzen 7 1700X,8,3.4,3.8,95,None,Yes,
Intel,Atom D2700,2,2.133,,10,None,Yes,100.00
AMD,FX-8320E,8,3.2,4,95,None,No,
Intel,Core i7-860,4,2.8,,95,None,Yes,
AMD,Phenom II X6 1090T Black,6,3.2,,125,None,No,498.90
Intel,Core i5-7640X,4,4,4.2,112,None,No,240.00
AMD,A6-9500E,2,3,3.4,35,Radeon R5 (on die),No,77.39
Intel,Core i3-8300,4,3.7,,62,Intel UHD Graphics 630,No,208.71
AMD,FX-8350,8,4,,125,None,No,
Intel,Celeron G5920,2,3.5,,58,Intel UHD Graphics 610,No,61.99
