brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
AOC,C24G1,24.0,1920 x 1080,144,1,VA,16:9,179.99
MSI,Optix G24C4,23.6,1920 x 1080,144,1,VA,16:9,298.98
Asus,TUF Gaming VG279QM,27.0,1920 x 1080,280,1,IPS,16:9,399.00
Acer,SB220Q bi,21.5,1920 x 1080,75,4,IPS,16:9,93.99
Sceptre,C248B-144RN,24.0,1920 x 1080,144,3,VA,16:9,158.97
LG,27GL850-B,27.0,2560 x 1440,144,1,IPS,16:9,496.99
Asus,TUF Gaming VG27AQ,27.0,2560 x 1440,165,1,IPS,16:9,419.99
LG,24MK400H-B,24.0,1920 x 1080,75,1,TN,16:9,124.99
MSI,Optix G241,23.8,1920 x 1080,144,1,IPS,16:9,189.99
Asus,TUF GAMING VG259QM,24.5,1920 x 1080,280,1,IPS,16:9,319.00
MSI,Optix MAG241C,23.6,1920 x 1080,144,1,VA,16:9,199.99
Acer,XF250Q Cbmiiprx,24.5,1920 x 1080,240,1,TN,16:9,269.99
Asus,VG248QG,24.0,1920 x 1080,165,1,TN,16:9,199.99
LG,22MK430H-B,21.5,1920 x 1080,75,5,IPS,16:9,84.99
LG,27GL83A-B,27.0,2560 x 1440,144,1,IPS,16:9,379.99
VIOTEK,GFV24C,24.0,1920 x 1080,144,1,VA,16:9,144.99
ViewSonic,XG2405,23.8,1920 x 1080,144,1,IPS,16:9,174.99
Dell,S2719DGF,27.0,2560 x 1440,155,0.5,TN,16:9,386.89
Asus,VG278QR,27.0,1920 x 1080,165,1,TN,16:9,249.00
Acer,XV272U Pbmiiprzx,27.0,2560 x 1440,144,1,IPS,16:9,419.00
Acer,VG270 Pbiip,27.0,1920 x 1080,144,1,IPS,16:9,229.99
Acer,VG270U Pbmiipx,27.0,2560 x 1440,144,1,IPS,16:9,359.99
AOC,C27G1,27.0,1920 x 1080,144,3,VA,16:9,
Asus,VA24EHE,23.8,1920 x 1080,75,1,IPS,16:9,114.98
Asus,TUF Gaming VG24VQ,23.6,1920 x 1080,144,1,VA,16:9,164.98
LG,27GN750-B,27.0,1920 x 1080,240,4,IPS,16:9,396.99
AOC,24G2,23.8,1920 x 1080,144,1,IPS,16:9,237.99
ViewSonic,VX2758-2KP-MHD,27.0,2560 x 1440,144,1,IPS,16:9,299.99
LG,34GK950F-B,34.0,3440 x 1440,144,1,IPS,21:9,896.99
Asus,ROG Strix XG27UQ,27.0,3840 x 2160,144,1,IPS,16:9,799.99
Asus,VG278Q,27.0,1920 x 1080,144,1,TN,16:9,244.98
AOC,CQ27G1,27.0,2560 x 1440,144,1,VA,16:9,424.99
Asus,TUF GAMING VG249Q,23.8,1920 x 1080,144,1,IPS,16:9,245.92
Samsung,C27JG56,27.0,2560 x 1440,144,1,VA,16:9,299.99
Sceptre,E255B-1658A,24.5,1920 x 1080,165,1,TN,16:9,179.97
Asus,ROG Strix XG279Q,27.0,2560 x 1440,170,4,IPS,16:9,597.99
LG,27GL650F-B,27.0,1920 x 1080,144,5,IPS,16:9,298.02
VIOTEK,GFT27DB,27.0,2560 x 1440,144,1,TN,16:9,269.99
LG,24GL600F-B,23.6,1920 x 1080,144,5,TN,16:9,179.99
Alienware,AW2720HF,27.0,1920 x 1080,240,1,IPS,16:9,439.99
MSI,Optix MAG321CQR,31.5,2560 x 1440,144,1,VA,16:9,399.99
AOC,24G2U/BK,24.0,1920 x 1080,144,5,IPS,16:9,
Asus,VG245H,24.0,1920 x 1080,75,1,TN,16:9,162.99
LG,34GN850-B,34.0,3440 x 1440,160,1,IPS,21:9,999.99
Samsung,C49RG9,49.0,5120 x 1440,120,1,VA,32:9,1134.06
ViewSonic,VX2458-mhd,23.6,1920 x 1080,144,3,TN,16:9,159.99
MSI,Optix G24C,23.6,1920 x 1080,144,1,VA,16:9,179.99
Sceptre,C305B-200UN,30.0,2560 x 1080,200,1,VA,21:9,278.99
MSI,Optix G27C4,27.0,1920 x 1080,165,4,VA,16:9,229.99
Acer,Nitro VG240Y bmiix,23.8,1920 x 1080,75,3,IPS,16:9,176.99
LG,UltraGear 38GN950-B,38.0,3840 x 1600,160,1,IPS,12:5,3015.00
MSI,Optix G271,27.0,1920 x 1080,144,1,IPS,16:9,239.99
VIOTEK,GFV22CB,22.0,1920 x 1080,144,1,VA,16:9,207.90
Asus,VP228QG,21.5,1920 x 1080,75,1,TN,16:9,104.99
MSI,Optix MAG272CRX,27.0,1920 x 1080,240,1,VA,16:9,334.99
Acer,XFA240 bmjdpr,24.0,1920 x 1080,144,1,TN,16:9,199.99
Westinghouse,WM32DX9019,31.5,2560 x 1440,144,1,VA,16:9,244.98
Pixio,PXC243,23.6,1920 x 1080,144,3,VA,16:9,159.99
MSI,Optix MPG341CQR,34.0,3440 x 1440,144,0.5,VA,21:9,799.99
LG,32GK850F-B,32.0,2560 x 1440,144,4,VA,16:9,411.41
Asus,VP249QGR,23.8,1920 x 1080,144,1,IPS,16:9,227.00
Sceptre,C325B-185RD,31.5,1920 x 1080,185,1,VA,16:9,239.97
ViewSonic,VX2458-C-MHD,23.6,1920 x 1080,144,1,VA,16:9,244.98
MSI,Optix G27C2,27.0,1920 x 1080,144,1,VA,16:9,239.99
AOC,27G2,27.0,1920 x 1080,144,1,IPS,16:9,
AOC,CU34G2X/BK,34.0,3440 x 1440,144,5,VA,21:9,588.00
Asus,VG279Q,27.0,1920 x 1080,144,1,IPS,16:9,289.99
AOC,G2590FX,24.5,1920 x 1080,144,1,TN,16:9,214.18
Acer,XF240H,24.0,1920 x 1080,144,0.1,TN,16:9,199.99
Asus,TUF GAMING VG32VQ,31.5,2560 x 1440,144,1,VA,16:9,432.99
AOC,CQ32G1,31.5,2560 x 1440,144,5,VA,16:9,
LG,27GK750F-B,27.0,1920 x 1080,240,4,TN,16:9,346.56
BenQ,XL2540,24.5,1920 x 1080,240,1,TN,16:9,408.95
VIOTEK,GN24CW,24.0,1920 x 1080,144,5,VA,16:9,
Asus,VG258QR,24.5,1920 x 1080,165,4,TN,16:9,258.95
Samsung,C24RG50,23.5,1920 x 1080,144,1,VA,16:9,149.99
LG,24MK430H-B,23.8,1920 x 1080,75,5,IPS,16:9,146.99
MSI,Optix MAG272CR,27.0,1920 x 1080,165,1,VA,16:9,264.99
LG,32GK650F-B,32.0,2560 x 1440,144,5,VA,16:9,392.78
Lenovo,L24q-30,23.8,2560 x 1440,75,5,IPS,16:9,172.99
LG,24MK600M-B,24.0,1920 x 1080,75,4,IPS,16:9,169.99
Asus,ROG Strix XG49VQ,49.0,3840 x 1080,144,5,VA,32:9,790.23
Acer,ED270R PBIIPX,27.0,1920 x 1080,165,4,VA,16:9,209.99
Acer,V277U,27.0,2560 x 1440,75,5,IPS,16:9,229.00
LG,34GL750-B,34.0,2560 x 1080,144,4,IPS,21:9,594.90
Pixio,PX247,23.8,1920 x 1080,144,1,IPS,16:9,179.94
Samsung,CF398,27.0,1920 x 1080,60,5,VA,16:9,169.99
Acer,KG271U Abmiipx,27.0,2560 x 1440,144,1,TN,16:9,
LG,27UK650-W,27.0,3840 x 2160,60,1,IPS,16:9,496.99
ViewSonic,VX2758-P-MHD,27.0,1920 x 1080,144,5,TN,16:9,219.99
Asus,TUF Gaming VG27VQ,27.0,1920 x 1080,165,4,VA,16:9,285.49
Asus,ROG Strix XG258Q,24.5,1920 x 1080,240,0.5,TN,16:9,
Gigabyte,AORUS FI27Q-SA,27.0,2560 x 1440,165,1,IPS,16:9,439.99
AOC,Q27G2U/BK,27.0,2560 x 1440,144,4,VA,16:9,
Asus,TUF Gaming VG289Q,28.0,3840 x 2160,60,5,IPS,16:9,399.99
Gigabyte,AORUS FI27Q-P,27.0,2560 x 1440,165,1,IPS,16:9,529.99
Acer,Nitro XZ272U Pbmiiphx,27.0,2560 x 1440,165,1,VA,16:9,304.98
Alienware,AW5520QF,55.0,3840 x 2160,120,1,OLED,16:9,
BenQ,EL2870U,28.0,3840 x 2160,60,2,TN,16:9,299.99
Asus,ROG Strix XG438Q,43.0,3840 x 2160,120,1,VA,16:9,1099.00
LG,22BK430H-B,21.5,1920 x 1080,60,4,IPS,16:9,99.99
iiyama,G-MASTER BLACK HAWK,21.5,1920 x 1080,75,3,TN,16:9,207.00
iiyama,G-MASTER GB2760HSU-B1,27.0,1920 x 1080,144,5,TN,16:9,379.00
ViewSonic,ELITE XG270,27.0,1920 x 1080,240,4,IPS,16:9,429.99
LG,27BK400H-B,27.0,1920 x 1080,75,1,TN,16:9,139.99
Acer,VG240Y Pbiip,23.8,1920 x 1080,144,1,IPS,16:9,499.99
iiyama,G-MASTER BLACK HAWK,24.5,1920 x 1080,75,1,TN,16:9,234.00
Samsung,C32JG56,32.0,2560 x 1440,144,5,VA,16:9,353.39
Sceptre,C275B-144RN,27.0,1920 x 1080,144,4,VA,16:9,259.99
Samsung,S24R350,23.8,1920 x 1080,75,5,IPS,16:9,128.80
Acer,ED273 Abidpx,27.0,1920 x 1080,144,5,VA,16:9,278.98
Acer,XG270HU,27.0,2560 x 1440,144,1,TN,16:9,369.99
Acer,XV340CK Pbmiipphzx,34.0,3440 x 1440,144,1,IPS,21:9,534.99
MSI,OPTIX MAG271CQR,27.0,2560 x 1440,144,1,VA,16:9,
HP,27xq,27.0,2560 x 1440,144,8,TN,16:9,340.46
BenQ,EX2780Q,27.0,2560 x 1440,144,4,IPS,16:9,449.99
Acer,V227Q Abmipx,21.5,1920 x 1080,75,5,VA,16:9,118.40
Acer,XV240Y Pbmiiprx,23.8,1920 x 1080,144,4,IPS,16:9,214.98
HP,Omen 25,24.5,1920 x 1080,144,1,TN,16:9,234.99
LG,24UD58-B,23.8,3840 x 2160,60,5,IPS,16:9,298.56
LG,32UD59-B,32.0,3840 x 2160,60,5,VA,16:9,346.99
Samsung,C32HG70,31.5,2560 x 1440,144,1,VA,16:9,529.99
Acer,XF250Q Bbmiiprx,24.5,1920 x 1080,144,1,TN,16:9,199.52
MSI,Optix AG32CQ,31.5,2560 x 1440,144,1,VA,16:9,499.99
MSI,Optix MAG341CQ,34.0,3440 x 1440,100,1,VA,21:9,446.99
Asus,ROG Strix XG32VQ,31.5,2560 x 1440,144,4,VA,16:9,579.99
Pixio,PX329,31.5,2560 x 1440,165,4,VA,16:9,299.99
Acer,ED323QUR Abidpx,31.5,2560 x 1440,144,4,VA,16:9,339.94
Lenovo,Legion Y27q-20,27.0,2560 x 1440,165,1,IPS,16:9,459.99
Gigabyte,AORUS CV27Q-SA,27.0,2560 x 1440,165,4,VA,16:9,369.99
ViewSonic,XG2402,24.0,1920 x 1080,144,1,TN,16:9,239.99
LG,27QN600-B,27.0,2560 x 1440,75,4,IPS,16:9,241.14
VIOTEK,GFI27QXA,27.0,3840 x 2160,144,1,IPS,16:9,679.99
Asus,MG248QR,24.0,1920 x 1080,144,4,TN,16:9,243.64
Asus,VP248QG,24.0,1920 x 1080,75,1,TN,16:9,169.49
LG,24BK400H-B,24.0,1920 x 1080,75,4,TN,16:9,163.25
Asus,VG258Q,24.5,1920 x 1080,144,1,TN,16:9,
Acer,ED322QR Pbmiipx,31.5,1920 x 1080,144,5,VA,16:9,284.98
Samsung,LU32J590UQNXZA,32.0,3840 x 2160,60,5,VA,16:9,269.99
Acer,QG241Y bii,23.8,1920 x 1080,75,4,VA,16:9,109.99
Samsung,LS24F354FHNXZA,23.5,1920 x 1080,60,1,PLS,16:9,109.99
Acer,VG271 Pbmiipx,27.0,1920 x 1080,144,1,IPS,16:9,299.99
Acer,VG270U bmiipx,27.0,2560 x 1440,75,1,IPS,16:9,234.98
Samsung,SJ55W,34.1,3440 x 1440,75,1,VA,21:9,391.58
AOC,C32G1,31.5,1920 x 1080,144,4,VA,16:9,
Sceptre,C355W-3440UN,35.0,3440 x 1440,100,1,VA,21:9,379.97
Dell,DHSE2417HGX,23.6,1920 x 1080,75,5,TN,16:9,149.99
Samsung,LC32F391FWNXZA,32.0,1920 x 1080,60,4,VA,16:9,249.99
Asus,TUF Gaming VG35VQ,35.0,3440 x 1440,100,5,VA,21:9,579.00
iiyama,G-MASTER RED EAGLE,27.0,2560 x 1440,144,3,TN,16:9,464.00
Asus,TUF Gaming VG328H1B,31.5,1920 x 1080,165,3,VA,16:9,269.99
MSI,Optix G32CQ4,31.5,2560 x 1440,165,1,VA,16:9,359.99
Acer,XB253Q Gpbmiiprzx,24.5,1920 x 1080,144,5,IPS,16:9,256.08
LG,34UM69G-B,34.0,2560 x 1080,75,1,IPS,21:9,326.99
HP,Omen 27i,27.0,2560 x 1440,165,1,IPS,16:9,409.99
VIOTEK,GNV29CB,29.0,2560 x 1080,120,1,VA,21:9,
AOC,G2460VQ6,24.0,1920 x 1080,75,1,TN,16:9,195.00
Acer,Nitro XV273 Xbmiiprzx,27.0,1920 x 1080,240,5,IPS,16:9,499.99
Asus,ProArt PA32UCX,32.0,3840 x 2160,60,1,IPS,16:9,
BenQ,ZOWIE XL2746S,27.0,1920 x 1080,240,4,TN,16:9,649.00
MSI,Optix MAG272C,27.0,1920 x 1080,165,4,VA,16:9,651.86
BenQ,EX3501R,35.0,3440 x 1440,100,1,VA,21:9,649.99
Samsung,C34F791,34.0,3440 x 1440,100,5,VA,21:9,1920.05
Acer,KG271 Cbmidpx,27.0,1920 x 1080,144,6,TN,16:9,325.80
AOC,24V2Q,23.8,1920 x 1080,75,4,IPS,16:9,280.64
Sceptre,E325W-2560AD,32.0,2560 x 1440,85,1,VA,16:9,249.97
Asus,VA24DQ,23.8,1920 x 1080,75,5,IPS,16:9,119.00
Acer,HA270 Abi,27.0,1920 x 1080,75,5,IPS,16:9,159.99
Acer,KG251Q bmiix,24.5,1920 x 1080,75,1,TN,16:9,198.99
LG,32QK500-C,32.0,2560 x 1440,75,4,IPS,16:9,
LG,27UK850-W,27.0,3840 x 2160,60,1,IPS,16:9,449.99
MSI,Optix MAG271C,27.0,1920 x 1080,144,4,VA,16:9,
Pixio,PX7P,27.0,2560 x 1440,165,5,IPS,16:9,404.98
AOC,G2260VWQ6,21.5,1920 x 1080,75,5,TN,16:9,
Samsung,U28R550,28.0,3840 x 2160,60,4,IPS,16:9,336.20
LG,49BL95C-W,49.0,5120 x 1440,60,1,IPS,32:9,1266.06
ViewSonic,VX2758-C-MH,27.0,1920 x 1080,144,1,VA,16:9,239.94
Asus,VP348QGL,34.0,3440 x 1440,75,1,VA,21:9,359.99
BenQ,ZOWIE XL2731,27.0,1920 x 1080,144,5,TN,16:9,269.00
Acer,XF270HU Cbmiiprx,27.0,2560 x 1440,144,1,TN,16:9,520.00
Asus,VP247QG,23.6,1920 x 1080,75,5,TN,16:9,138.99
VIOTEK,GN27DW,27.0,2560 x 1440,144,4,VA,16:9,
AOC,U2879VF,28.0,3840 x 2160,60,4,TN,16:9,414.67
HP,2XN60AA#ABA,23.8,1920 x 1080,75,4,IPS,16:9,134.99
Lenovo,66A1GCCBUS,34.0,3440 x 1440,144,5,VA,21:9,449.99
Acer,ED7,34.0,3440 x 1440,100,1,VA,21:9,499.99
VIOTEK,GN34CW,34.0,3440 x 1440,100,1,VA,21:9,
Acer,SB230 Bbix,23.0,1920 x 1080,75,1,IPS,16:9,109.99
Philips,246E9QJAB/00,23.8,1920 x 1080,75,4,IPS,16:9,
Westinghouse,WC34DX9019,34.0,3440 x 1440,100,1,VA,21:9,337.98
Asus,Designo Curve MX38VC,38.0,3840 x 1600,75,5,IPS,12:5,979.00
Acer,Nitro VG252Q P,24.5,1920 x 1080,144,1,IPS,16:9,
Samsung,C27FG73,27.0,1920 x 1080,144,1,VA,16:9,458.80
Acer,KG271U bmiippx,27.0,2560 x 1440,75,1,TN,16:9,249.99
MSI,Optix MPG27CQ,27.0,2560 x 1440,144,2,VA,16:9,
Philips,276E9QDSB,27.0,1920 x 1080,75,1,IPS,16:9,146.00
iiyama,G-MASTER BLACK HAWK,27.0,1920 x 1080,75,1,TN,16:9,282.26
LG,34WK650-W,34.0,2560 x 1080,60,4,IPS,21:9,396.99
Acer,KG241 Pbmidpx,24.0,1920 x 1080,144,2,TN,16:9,
ViewSonic,XG2401,23.6,1920 x 1080,144,4,TN,16:9,
MSI,Optix MAG27C,27.0,1920 x 1080,144,5,VA,16:9,
Dell,D2719HGF,27.0,1920 x 1080,144,4,TN,16:9,
Asus,MG248Q,24.0,1920 x 1080,144,1,TN,16:9,
AOPEN,32HC1QUR Pbidpx,31.5,2560 x 1440,144,4,VA,16:9,299.99
Asus,MG278Q,27.0,2560 x 1440,144,4,TN,16:9,899.00
Deco,Gear VIEW101,35.0,2560 x 1080,144,5,VA,21:9,319.95
ViewSonic,VX2457-MHD,23.6,1920 x 1080,75,4,TN,16:9,139.99
Asus,ROG STRIX XG27VQ,27.0,1920 x 1080,144,8,VA,16:9,
LG,27UL650-W,27.0,3840 x 2160,60,5,IPS,16:9,438.54
Samsung,C27F591,27.0,1920 x 1080,60,1,VA,16:9,249.99
Acer,KG251QF,24.5,1920 x 1080,144,1,TN,16:9,
Samsung,LS27F354FHNXZA,27.0,1920 x 1080,60,4,PLS,16:9,169.99
Acer,VW237Q,22.5,1920 x 1200,60,4,IPS,16:10,116.07
LG,32UL950-W,32.0,3840 x 2160,60,1,IPS,16:9,1279.99
BenQ,EW3270U,31.5,3840 x 2160,60,1,VA,16:9,449.99
VIOTEK,GNV34CB,34.0,2560 x 1080,100,8,VA,21:9,299.99
LG,27UL550-W,27.0,3840 x 2160,60,5,IPS,16:9,376.99
Acer,CB282K smiiprx,28.0,3840 x 2160,60,5,IPS,16:9,319.99
Acer,Predator CG437K Pbmiiippuzx,43.0,3840 x 2160,120,2,VA,16:9,1499.99
Acer,VG270 bmiix,27.0,1920 x 1080,75,1,IPS,16:9,175.00
AOC,AG251FZ,24.5,1920 x 1080,240,5,TN,16:9,798.48
Acer,KG271B,27.0,1920 x 1080,240,1,TN,16:9,
Acer,ET322QU,31.5,2560 x 1440,75,5,IPS,16:9,274.97
Samsung,LU32J590UQUXEN,32.0,3840 x 2160,60,5,VA,16:9,455.00
Asus,VP248QGL,24.0,1920 x 1080,75,1,TN,16:9,149.99
MSI,Optix MAG322CQRV,31.5,2560 x 1440,144,4,VA,16:9,
VIOTEK,SUW49DA,49.0,5120 x 1440,120,1,VA,32:9,979.99
Acer,XZ242Q Sbmiiphx,23.6,1920 x 1080,165,5,VA,16:9,199.99
LG,32UN650-W,31.5,3840 x 2160,60,1,IPS,16:9,496.99
BenQ,EW2780,27.0,1920 x 1080,60,5,IPS,16:9,179.99
